phrase	pos	meaning	phonetic	example
fabricate	v.	捏造；制造	/ˈfæbrɪkeɪt/	
erratic	adj.	不稳定的；古怪的	/ɪˈrætɪk/	
equivalent	adj./n.	相等的；等价物	/ɪˈkwɪvələnt/	
equitable	adj.	公平的；公正的	/ˈekwɪtəbl/	
ephemeral	adj.	短暂的；瞬息即逝的	/ɪˈfemərəl/	
enormous	adj.	巨大的；庞大的	/ɪˈnɔːməs/	
endorse	v.	支持；认可；背书	/ɪnˈdɔːs/	
elusive	adj.	难以捉摸的；难理解的	/ɪˈluːsɪv/	
differentiate	v.	区分；区别	/ˌdɪfəˈrenʃieɪt/	
devoid	adj.	缺乏的；没有的	/dɪˈvɔɪd/	
detrimental	adj.	有害的；不利的	/ˌdetrɪˈmentl/	
deteriorate	v.	恶化；退化	/dɪˈtɪəriəreɪt/	
detect	v.	察觉；探测	/dɪˈtekt/	
derive	v.	得到；源于	/dɪˈraɪv/	
derivative	adj./n.	派生的；衍生物	/dɪˈrɪvətɪv/	
depict	v.	描绘；描述	/dɪˈpɪkt/	
deny	v.	否认；拒绝	/dɪˈnaɪ/	
denounce	v.	谴责；告发	/dɪˈnaʊns/	
compensate	v.	补偿；赔偿	/ˈkɒmpenseɪt/	
compatible	adj.	兼容的；能共处的	/kəmˈpætəbl/	
coincide	v.	同时发生；一致	/ˌkəʊɪnˈsaɪd/	
coalesce	v.	合并；联合	/ˌkəʊəˈles/	
clause	n.	条款；从句	/klɔːz/	
clarify	v.	澄清；阐明	/ˈklærəfaɪ/	
chagrin	n.	懊恼；失望	/ˈʃæɡrɪn/	
cease	v./n.	停止；终止	/siːs/	
caustic	adj.	腐蚀性的；尖刻的	/ˈkɔːstɪk/	
catalyst	n.	催化剂；诱因	/ˈkætəlɪst/	
buoyant	adj.	有浮力的；繁荣的	/ˈbɔɪənt/	
bureaucracy	n.	官僚机构；官僚主义	/bjʊəˈrɒkrəsi/	
buffet	n./v.	自助餐；打击	/ˈbʊfeɪ/	
boon	n.	恩惠；好处	/buːn/	
bias	n./v.	偏见；使偏向	/ˈbaɪəs/	
belie	v.	掩饰；证明…虚假	/bɪˈlaɪ/	
beleaguer	v.	围困；使烦恼	/bɪˈliːɡə(r)/	
behalf	n.	代表；利益	/bɪˈhɑːf/	
amend	v.	修改；修订	/əˈmend/	
accomplishment	n.	成就；完成	/əˈkʌmplɪʃmənt/	
accommodate	v.	容纳；适应；提供住宿	/əˈkɒmədeɪt/	
access	n./v.	进入；使用权；访问	/ˈækses/	
abrupt	adj.	突然的；唐突的	/əˈbrʌpt/	
symbol	n.	象征；符号	/ˈsɪmbl/	
persuade	v.	说服；劝说	/pəˈsweɪd/	
campaign	n./v.	运动；战役；参加活动	/kæmˈpeɪn/	
receipt	n.	收据；收到	/rɪˈsiːt/	
reserve	v./n.	保留；预订；储备	/rɪˈzɜːv/	
deliver	v.	递送；发表；交付	/dɪˈlɪvə(r)/	
volume	n.	体积；音量；卷	/ˈvɒljuːm/	
quantity	n.	数量；大量	/ˈkwɒntəti/	
somewhat	adv.	稍微；有点	/ˈsʌmwɒt/	
evaluate	v.	评估；评价	/ɪˈvæljueɪt/	
widespread	adj.	广泛的；普遍的	/ˈwaɪdspred/	
score	n./v.	分数；得分；二十	/skɔː(r)/	
gap	n.	差距；缺口；间隔	/ɡæp/	
individualism	n.	个人主义	/ˌɪndɪˈvɪdʒuəlɪzəm/	
index	n./v.	索引；指数；编索引	/ˈɪndeks/	
measure	v./n.	测量；措施	/ˈmeʒə(r)/	
equality	n.	平等；相等	/iˈkwɒləti/	
respect	n./v.	尊重；方面	/rɪˈspekt/	
donation	n.	捐赠；捐款	/dəʊˈneɪʃn/	
pension	n.	养老金；退休金	/ˈpenʃn/	
loan	n./v.	贷款；借出	/ləʊn/	
debt	n.	债务；欠款	/det/	
worth	adj./n.	值得的；价值	/wɜːθ/	
pay back	v. phrase	偿还；报复	/peɪ bæk/	
latter	adj./n.	后者的；后者	/ˈlætə(r)/	
former	adj./n.	前者的；前者	/ˈfɔːmə(r)/	
entrepreneur	n.	企业家；创业者	/ˌɒntrəprəˈnɜː(r)/	
self-esteem	n.	自尊	/ˌself ɪˈstiːm/	
competition	n.	竞争；比赛	/ˌkɒmpəˈtɪʃn/	
succeed in	v. phrase	在…方面成功	/səkˈsiːd ɪn/	
blame for	v. phrase	责备；归咎于	/bleɪm fɔː(r)/	
exceed	v.	超过；超出	/ɪkˈsiːd/	
dramatic	adj.	戏剧性的；显著的	/drəˈmætɪk/	
add to	v. phrase	增加；增添	/æd tuː/	
co-operation	n.	合作；协作	/kəʊˌɒpəˈreɪʃn/	
sample	n./v.	样本；抽样	/ˈsɑːmpl/	
elite	n./adj.	精英；精英的	/eɪˈliːt/	
manipulate	v.	操纵；控制	/məˈnɪpjuleɪt/	
amateur	n./adj.	业余爱好者；业余的	/ˈæmətə(r)/	
state	n./v.	状态；陈述；国家	/steɪt/	
register	v./n.	登记；注册	/ˈredʒɪstə(r)/	
transplant	v./n.	移植；移栽	/trænsˈplɑːnt/	
shortage	n.	短缺；不足	/ˈʃɔːtɪdʒ/	
heal	v.	治愈；痊愈	/hiːl/	
alternative	adj./n.	替代的；选择	/ɔːlˈtɜːnətɪv/	
mental	adj.	精神的；心理的	/ˈmentl/	
scheme	n./v.	计划；方案；阴谋	/skiːm/	
lifestyle	n.	生活方式	/ˈlaɪfstaɪl/	
nerve	n.	神经；勇气	/nɜːv/	
gut	n.	肠道；直觉	/ɡʌt/	
accelerate	v.	加速；促进	/əkˈseləreɪt/	
install	v.	安装；安置	/ɪnˈstɔːl/	
virus	n.	病毒	/ˈvaɪrəs/	
deal with	v. phrase	处理；对付	/diːl wɪð/	
come up with	v. phrase	提出；想出	/kʌm ʌp wɪð/	
break down	v. phrase	分解；出故障	/breɪk daʊn/	
work out	v. phrase	解决；锻炼	/wɜːk aʊt/	
conduct	v./n.	进行；行为；指挥	/kənˈdʌkt/	
advance	n./v./adj.	前进；提前；预先的	/ədˈvɑːns/	
restore	v.	恢复；修复	/rɪˈstɔː(r)/	
remarkable	adj.	显著的；非凡的	/rɪˈmɑːkəbl/	
insert	v./n.	插入；插入物	/ɪnˈsɜːt/	
device	n.	装置；设备	/dɪˈvaɪs/	
cure	v./n.	治愈；疗法	/kjʊə(r)/
flexibility	n.	灵活性；弹性	/ˌfleksəˈbɪləti/	
paralysed	adj.	瘫痪的；惊呆的	/ˈpærəlaɪzd/	
deaf	adj.	聋的	/def/	
ingredient	n.	原料；成分	/ɪnˈɡriːdiənt/	
manufacture	v./n.	制造；制造业	/ˌmænjuˈfæktʃə(r)/
retailer	n.	零售商	/ˈriːteɪlə(r)/
dependent	adj.	依赖的；取决于…的	/dɪˈpendənt/	
field	n./v.	领域；田野；使上场	/fiːld/	
agricultural	adj.	农业的	/ˌæɡrɪˈkʌltʃərəl/	
import	v./n.	进口；输入；重要意义	/ɪmˈpɔːt/	
scientific	adj.	科学的	/ˌsaɪənˈtɪfɪk/	
informative	adj.	提供有用信息的；增长见闻的	/ɪnˈfɔːmətɪv/	
quality	n./adj.	质量；品质；优质的	/ˈkwɒləti/	
export	v./n.	出口；输出	/ɪkˈspɔːt/	
variety	n.	多样性；种类	/vəˈraɪəti/
consume	v.	消费；消耗	/kənˈsjuːm/
react	v.	反应；起化学反应	/riˈækt/
supply	n./v.	供应；供给	/səˈplaɪ/
reaction	n.	反应；回应	/riˈækʃn/
broad	adj.	宽阔的；广泛的	/brɔːd/
awareness	n.	意识；认识	/əˈweənəs/
frozen	adj.	冷冻的；冻僵的	/ˈfrəʊzn/
processed	adj.	加工过的	/ˈprəʊsest/
disease	n.	疾病	/dɪˈziːz/
thread	n.	线；线索	/θred/
confused	adj.	困惑的；混乱的	/kənˈfjuːzd/
cell	n.	细胞；小房间	/sel/
organic	adj.	有机的；器官的	/ɔːˈɡænɪk/
certain	adj.	确定的；某个	/ˈsɜːtn/
crop	n./v.	庄稼；收成；修剪	/krɒp/
mineral	n.	矿物；矿物质	/ˈmɪnərəl/
vitamin	n.	维生素	/ˈvɪtəmɪn/
underestimate	v.	低估	/ˌʌndərˈestɪmeɪt/
destroy	v.	破坏；毁灭	/dɪˈstrɔɪ/
transform	v.	改变；转化	/trænsˈfɔːm/
disaster	n.	灾难；灾祸	/dɪˈzɑːstə(r)/
retirement	n.	退休；退役	/rɪˈtaɪəmənt/
congestion	n.	拥挤；充血	/kənˈdʒestʃən/
reversible	adj.	可逆的；可翻转的	/rɪˈvɜːsəbl/
component	n.	组成部分；元件	/kəmˈpəʊnənt/
monitor	v./n.	监控；监视器	/ˈmɒnɪtə(r)/
assess	v.	评估；评定	/əˈses/
suburban	adj.	郊区的	/səˈbɜːbən/
cycle	n./v.	周期；循环；骑自行车	/ˈsaɪkl/
fresh	adj.	新鲜的；新近的	/freʃ/
rural	adj.	乡村的；农村的	/ˈrʊərəl/
figure	n./v.	数字；人物；认为	/ˈfɪɡə(r)/
demand	n./v.	要求；需求	/dɪˈmɑːnd/
appeal	n./v.	呼吁；吸引力；上诉	/əˈpiːl/
workplace	n.	工作场所	/ˈwɜːkpleɪs/
commit	v.	承诺；犯（罪）	/kəˈmɪt/
eyewitness	n.	目击者	/ˈaɪwɪtnəs/
victim	n.	受害者；牺牲品	/ˈvɪktɪm/
arrest	v./n.	逮捕；阻止	/əˈrest/
judge	n./v.	法官；判断	/dʒʌdʒ/
jury	n.	陪审团	/ˈdʒʊəri/
obviously	adv.	明显地；显然	/ˈɒbviəsli/
publish	v.	出版；发表	/ˈpʌblɪʃ/
select	v./adj.	选择；精选的	/sɪˈlekt/
perceive	v.	感知；认为	/pəˈsiːv/
principle	n.	原则；原理	/ˈprɪnsəpl/
basically	adv.	基本上；从根本上说	/ˈbeɪsɪkli/
define	v.	定义；界定	/dɪˈfaɪn/
theory	n.	理论；学说	/ˈθɪəri/
scene	n.	场景；现场	/siːn/
tension	n.	紧张；张力	/ˈtenʃn/
improvement	n.	改进；改善	/ɪmˈpruːvmənt/
category	n.	类别；种类	/ˈkætəɡəri/
broadcast	v./n.	广播；播送	/ˈbrɔːdkɑːst/
factual	adj.	事实的；真实的	/ˈfæktʃuəl/
powerful	adj.	强大的；有影响力的	/ˈpaʊəfl/
specific	adj.	具体的；特定的	/spəˈsɪfɪk/
promotion	n.	促销；晋升；推广	/prəˈməʊʃn/
creativity	n.	创造力	/ˌkriːeɪˈtɪvəti/
literacy	n.	识字；读写能力	/ˈlɪtərəsi/
overlook	v.	忽视；俯瞰	/ˌəʊvəˈlʊk/
deliberate	adj./v.	故意的；深思熟虑；仔细考虑	/dɪˈlɪbərət/
characteristic	n./adj.	特征；特有的	/ˌkærəktəˈrɪstɪk/
compose	v.	组成；创作；作曲	/kəmˈpəʊz/
warning	n.	警告；警示	/ˈwɔːnɪŋ/
link	n./v.	联系；链接	/lɪŋk/
craft	n./v.	工艺；手艺；精心制作	/krɑːft/
technology	n.	技术；科技	/tekˈnɒlədʒi/
reflect	v.	反映；反射；反思	/rɪˈflekt/
make up	v. phrase	组成；编造；化妆	/meɪk ʌp/
role	n.	角色；作用	/rəʊl/
relevant	adj.	相关的；切题的	/ˈreləvənt/
range	n./v.	范围；一系列；变化	/reɪndʒ/
immigration	n.	移民；移居	/ˌɪmɪˈɡreɪʃn/
economy	n.	经济；节约	/ɪˈkɒnəmi/
destination	n.	目的地；终点	/ˌdestɪˈneɪʃn/
flight	n.	航班；飞行	/flaɪt/
set off	v. phrase	出发；使爆炸	/set ɒf/
route	n.	路线；航线	/ruːt/
distribution	n.	分配；分布	/ˌdɪstrɪˈbjuːʃn/
originally	adv.	最初；本来	/əˈrɪdʒənəli/
label	n./v.	标签；贴标签	/ˈleɪbl/
feature	n./v.	特征；以…为特色	/ˈfiːtʃə(r)/
disappear	v.	消失；不见	/ˌdɪsəˈpɪə(r)/
disadvantage	n.	不利条件；劣势	/ˌdɪsədˈvɑːntɪdʒ/
unlikely	adj.	不太可能的	/ʌnˈlaɪkli/
disability	n.	残疾；缺陷	/ˌdɪsəˈbɪləti/
inexpensive	adj.	便宜的；不贵的	/ˌɪnɪkˈspensɪv/
structure	n./v.	结构；构造；组织	/ˈstrʌktʃə(r)/
feed	v./n.	喂养；饲料	/fiːd/
leader	n.	领导者；领袖	/ˈliːdə(r)/
analyse	v.	分析	/ˈænəlaɪz/
approach	n./v.	方法；接近	/əˈprəʊtʃ/
discovery	n.	发现	/dɪˈskʌvəri/
laboratory	n.	实验室	/ləˈbɒrətri/
drop	v./n.	下降；滴；放下	/drɒp/
to	prep.	到；向；对于	/tuː/
turn into	v. phrase	变成；成为	/tɜːn ˈɪntuː/
damage	n./v.	损害；损坏	/ˈdæmɪdʒ/
predictable	adj.	可预测的	/prɪˈdɪktəbl/
transportation	n.	运输；交通工具	/ˌtrænspɔːˈteɪʃn/
creative	adj.	有创造力的	/kriˈeɪtɪv/
eventually	adv.	最终；终于	/ɪˈventʃuəli/
store	v./n.	储存；商店	/stɔː(r)/
indeed	adv.	确实；实际上	/ɪnˈdiːd/
ton	n.	吨；大量	/tʌn/
design	n./v.	设计；图案	/dɪˈzaɪn/
remove	v.	移除；去掉	/rɪˈmuːv/
from	prep.	从；来自	/frɒm/
environmental	adj.	环境的；有关环境的	/ɪnˌvaɪrənˈmentl/
benefit	n./v.	好处；受益	/ˈbenɪfɪt/
inheritance	n.	继承；遗产	/ɪnˈherɪtəns/
expectation	n.	期望；预期	/ˌekspekˈteɪʃn/
reduce	v.	减少；降低	/rɪˈdjuːs/
insignificant	adj.	微不足道的；无足轻重的	/ˌɪnsɪɡˈnɪfɪkənt/
project	n./v.	项目；工程；投射	/ˈprɒdʒekt/
injury	n.	伤害；损伤	/ˈɪndʒəri/
area	n.	地区；领域	/ˈeəriə/
construct	v.	建造；构造	/kənˈstrʌkt/
background	n.	背景；出身	/ˈbæɡraʊnd/
generation	n.	一代；产生	/ˌdʒenəˈreɪʃn/
except	prep./conj.	除…之外	/ɪkˈsept/
accept	v.	接受；认可	/əkˈsept/
society	n.	社会；社团	/səˈsaɪəti/
community	n.	社区；群体	/kəˈmjuːnəti/
relationship	n.	关系；联系	/rɪˈleɪʃnʃɪp/
bring	v.	带来；引起	/brɪŋ/
release	v./n.	释放；发布	/rɪˈliːs/
response	n.	回答；反应	/rɪˈspɒns/
identify	v.	识别；确认	/aɪˈdentɪfaɪ/
data	n.	数据；资料	/ˈdeɪtə/
opposed	adj.	反对的；对立的	/əˈpəʊzd/
disappointed	adj.	失望的	/ˌdɪsəˈpɔɪntɪd/
frustrate	v.	使沮丧；挫败	/frʌˈstreɪt/
anxious	adj.	焦虑的；担忧的	/ˈæŋkʃəs/
irritate	v.	激怒；刺激	/ˈɪrɪteɪt/
prompt	v./adj.	促使；迅速的	/prɒmpt/
express	v.	表达；表示	/ɪkˈspres/
comfort	n./v.	舒适；安慰	/ˈkʌmfət/
chemical	adj./n.	化学的；化学品	/ˈkemɪkl/
balance	n./v.	平衡；权衡	/ˈbæləns/
related	adj.	相关的；有联系的	/rɪˈleɪtɪd/
a	art.	一（个）	/eɪ/
set	v./n.	设置；一套；集合	/set/
goal	n.	目标；进球	/ɡəʊl/
rise	v./n.	上升；升起	/raɪz/
raise	v./n.	举起；筹集；养育	/reɪz/
opportunity	n.	机会；时机	/ˌɒpəˈtjuːnəti/
establish	v.	建立；确立	/ɪˈstæblɪʃ/
career	n.	职业；事业	/kəˈrɪə(r)/
affect	v.	影响；打动	/əˈfekt/
social media	n. phrase	社交媒体	/ˈsəʊʃl ˈmiːdiə/
educate	v.	教育；培养	/ˈedʒukeɪt/
development	n.	发展；开发	/dɪˈveləpmənt/
beneficial	adj.	有益的；有利的	/ˌbenɪˈfɪʃl/
intelligence	n.	智力；情报	/ɪnˈtelɪdʒəns/
support	v./n.	支持；支撑	/səˈpɔːt/
socialise	v.	社交；交往	/ˈsəʊʃəlaɪz/
skill	n.	技能；技巧	/skɪl/
punish	v.	惩罚；处罚	/ˈpʌnɪʃ/
negative	adj.	消极的；否定的	/ˈneɡətɪv/
carry out	v. phrase	执行；实施	/ˌkæri ˈaʊt/
aim	n./v.	目标；旨在	/eɪm/
psychologist	n.	心理学家	/saɪˈkɒlədʒɪst/
performance	n.	表现；表演	/pəˈfɔːməns/
issue	n./v.	问题；发布；发行	/ˈɪʃuː/
have	v.	有；吃；进行	/hæv/
an	art.	一（个）	/ən/	
definite article	一（个）	/ən/
effect	n./v.	影响；效果；实现	/ɪˈfekt/	on	prep./adv.	在…上；继续	/ɒn/
Concerned	adj.	担心的；关注的	/kənˈsɜːnd/
with	prep.	和；具有；用	/wɪð/
cognitive	adj.	认知的	/ˈkɒɡnɪtɪv/
process	n./v.	过程；处理	/ˈprəʊses/
challenging	adj.	有挑战性的	/ˈtʃælɪndʒɪŋ/
threaten	v.	威胁；恐吓	/ˈθretn/
reward	n./v.	奖励；报酬	/rɪˈwɔːd/
punishment	n.	惩罚	/ˈpʌnɪʃmənt/
motivation	n.	动机；动力	/ˌməʊtɪˈveɪʃn/
encourage	v.	鼓励；激励	/ɪnˈkʌrɪdʒ/
effort	n.	努力；尝试	/ˈefət/
consequence	n.	结果；后果	/ˈkɒnsɪkwəns/
influential	adj.	有影响力的	/ˌɪnfluˈenʃl/
fulfilling	adj.	令人满足的	/fʊlˈfɪlɪŋ/
engage	v.	参与；吸引；雇佣	/ɪnˈɡeɪdʒ/
act	v./n.	行动；行为；表演	/ækt/
tutorial	n.	辅导课；教程	/tjuːˈtɔːriəl/
protocol	n.	协议；礼仪	/ˈprəʊtəkɒl/
mediation	n.	调解；仲裁	/ˌmiːdiˈeɪʃn/
major	adj./n./v.	主要的；专业；主修	/ˈmeɪdʒə(r)/
faculty	n.	 faculty；全体教员	/ˈfæklti/
elective	adj./n.	选举的；选修课	/ɪˈlektɪv/
supplement	n./v.	补充；增补	/ˈsʌplɪmənt/
strengthen	v.	加强；巩固	/ˈstreŋθn/
so-called	adj.	所谓的	/ˌsəʊ ˈkɔːld/
reject	v.	拒绝；排斥	/rɪˈdʒekt/
reinforce	v.	加强；增援	/ˌriːɪnˈfɔːs/
portion	n.	部分；一份	/ˈpɔːʃn/
overeat	v.	吃得过多	/ˌəʊvərˈiːt/
ongoing	adj.	进行中的；持续的	/ˈɒnɡəʊɪŋ/
nourish	v.	滋养；培养	/ˈnʌrɪʃ/
levy	v./n.	征收；征税	/ˈlevi/
draw	v.	画；拉；吸引	/drɔː/
divide	v.	分开；除以	/dɪˈvaɪd/
charge	v./n.	收费；充电；指控	/tʃɑːdʒ/
additional	adj.	额外的；附加的	/əˈdɪʃənl/
acceptance	n.	接受；认可	/əkˈseptəns/
tolerant	adj.	宽容的；容忍的	/ˈtɒlərənt/
texture	n.	质地；纹理	/ˈtekstʃə(r)/
resort	v./n.	诉诸；度假胜地	/rɪˈzɔːt/
inadvertent	adj.	不经意的；疏忽的	/ˌɪnədˈvɜːtənt/
a host of	phrase	许多；一大群	/ə həʊst əv/
despair	n./v.	绝望；丧失信心	/dɪˈspeə(r)/
compromise	n./v.	妥协；折中	/ˈkɒmprəmaɪz/
surveillance	n.	监视；监控	/sɜːˈveɪləns/
stratospheric	adj.	平流层的；极高的	/ˌstrætəˈsferɪk/
simultaneously	adv.	同时地	/ˌsɪmlˈteɪniəsli/
satellite	n.	卫星	/ˈsætəlaɪt/
mission	n.	任务；使命	/ˈmɪʃn/
aloft	adv.	在高处；在空中	/əˈlɒft/
aerodynamics	n.	空气动力学	/ˌeərəʊdaɪˈnæmɪks/
vehicle	n.	车辆；交通工具	/ˈviːəkl/
rational	adj.	理性的；合理的	/ˈræʃnəl/
mechanism	n.	机制；机械装置	/ˈmekənɪzəm/
equation	n.	方程；等式	/ɪˈkweɪʒn/
empirical	adj.	经验的；实证的	/ɪmˈpɪrɪkl/
content	n./adj.	内容；满意的	/ˈkɒntent/
capability	n.	能力；才能	/ˌkeɪpəˈbɪləti/
atmosphere	n.	大气；气氛	/ˈætməsfɪə(r)/
pursue	v.	追求；从事	/pəˈsjuː/
nanometer	n.	纳米	/ˈnænəʊmiːtə(r)/
military	adj./n.	军事的；军队	/ˈmɪlətri/
interact	v.	相互作用；交流	/ˌɪntərˈækt/
initial	adj./n.	最初的；首字母	/ɪˈnɪʃl/
impact	n./v.	影响；冲击	/ˈɪmpækt/
emerge	v.	出现；浮现	/ɪˈmɜːdʒ/
dimension	n.	维度；方面	/daɪˈmenʃn/
speech recognition	n. phrase	语音识别	/spiːtʃ ˌrekəɡˈnɪʃn/
indistinguishable	adj.	难以区分的	/ˌɪndɪˈstɪŋɡwɪʃəbl/
hazard	n.	危险；危害	/ˈhæzəd/
genre	n.	类型；体裁	/ˈʒɒnrə/
tremendous	adj.	巨大的；极好的	/trəˈmendəs/
budget	n./v.	预算；安排开支	/ˈbʌdʒɪt/
talented	adj.	有天赋的	/ˈtæləntɪd/
rehearsal	n.	排练；彩排	/rɪˈhɜːsl/
phase	n.	阶段；时期	/feɪz/
ignore	v.	忽视；不理睬	/ɪɡˈnɔː(r)/
fundamental	adj.	基本的；根本的	/ˌfʌndəˈmentl/
equipment	n.	设备；装备	/ɪˈkwɪpmənt/
competent	adj.	有能力的；胜任的	/ˈkɒmpɪtənt/
meticulous	adj.	一丝不苟的	/məˈtɪkjələs/
eccentric	adj.	古怪的；偏心的	/ɪkˈsentrɪk/
disapproval	n.	不赞成；反对	/ˌdɪsəˈpruːvl/
calligrapher	n.	书法家	/kəˈlɪɡrəfə(r)/
apprentice	n.	学徒；实习生	/əˈprentɪs/
surreal	adj.	超现实的；离奇的	/səˈriəl/
expressive	adj.	有表现力的；富于表情的	/ɪkˈspresɪv/
depiction	n.	描绘；描述	/dɪˈpɪkʃn/
abstract	adj./n.	抽象的；摘要	/ˈæbstrækt/
sculpture	n.	雕塑；雕刻	/ˈskʌlptʃə(r)/
humanity	n.	人类；人性	/hjuːˈmænəti/
surface	n.	表面；外表	/ˈsɜːfɪs/
sphere	n.	球体；范围	/sfɪə(r)/
planet	n.	行星	/ˈplænɪt/
nuclear	adj.	核的；原子能的	/ˈnjuːkliə(r)/
absence	n.	缺席；缺乏	/ˈæbsəns/
visible	adj.	可见的；明显的	/ˈvɪzəbl/
trace	n./v.	痕迹；追踪	/treɪs/
species	n.	物种；种类	/ˈspiːʃiːz/
oxygen	n.	氧气	/ˈɒksɪdʒən/
organism	n.	生物体；有机体	/ˈɔːɡənɪzəm/
microbe	n.	微生物	/ˈmaɪkrəʊb/
inadequate	adj.	不足的；不充分的	/ɪnˈædɪkwət/
element	n.	元素；要素	/ˈelɪmənt/
core	n./adj.	核心；果心；核心的	/kɔː(r)/
constrain	v.	限制；约束	/kənˈstreɪn/
attempt	n./v.	尝试；企图	/əˈtempt/
aspect	n.	方面；外观	/ˈæspekt/
spine	n.	脊柱；刺	/spaɪn/
skull	n.	头骨；颅骨	/skʌl/
jaw	n.	颌；下巴	/dʒɔː/
captivity	n.	囚禁；被俘	/kæpˈtɪvəti/
aquarium	n.	水族馆	/əˈkweəriəm/
marine	adj.	海洋的；海生的	/məˈriːn/
infant	n.	婴儿；幼儿	/ˈɪnfənt/
weird	adj.	奇怪的；怪异的	/wɪəd/
physics	n.	物理；物理学	/ˈfɪzɪks/
microbiology	n.	微生物学	/ˌmaɪkrəʊbaɪˈɒlədʒi/
mechanics	n.	力学；机械学	/mɪˈkænɪks/
intricate	adj.	复杂的；错综的	/ˈɪntrɪkət/
evolve	v.	进化；发展	/ɪˈvɒlv/
elaborate	adj./v.	复杂的；详细阐述	/ɪˈlæbərət/
ecology	n.	生态学	/ɪˈkɒlədʒi/
creature	n.	生物；动物	/ˈkriːtʃə(r)/
chemistry	n.	化学	/ˈkemɪstri/
bright	adj.	明亮的；聪明的	/braɪt/
botany	n.	植物学	/ˈbɒtəni/
bizarre	adj.	奇异的	/bɪˈzɑː(r)/
biology	n.	生物学	/baɪˈɒlədʒi/
astronomy	n.	天文学	/əˈstrɒnəmi/
adjust	v.	调整；适应	/əˈdʒʌst/
acquire	v.	获得；习得	/əˈkwaɪə(r)/
spy	n./v.	间谍；侦察	/spaɪ/
keep a low profile	phrase	保持低调	/kiːp ə ləʊ ˈprəʊfaɪl/
depressed	adj.	沮丧的；萧条的	/dɪˈprest/
unremarkable	adj.	平凡的；不显著的	/ˌʌnrɪˈmɑːkəbl/
unintentional	adj.	无意的；偶然的	/ˌʌnɪnˈtenʃənl/
paradoxically	adv.	自相矛盾地	/ˌpærəˈdɒksɪkli/
intriguingly	adv.	有趣地；引人入胜	/ɪnˈtriːɡɪŋli/
